region,date,year,month,day,year_week,task_count
region_a,1/1/2020,2020,1,1,2020_01,5
region_a,1/2/2020,2020,1,2,2020_01,25
region_a,1/5/2020,2020,1,5,2020_01,20
region_a,1/6/2020,2020,1,6,2020_02,20
region_a,1/7/2020,2020,1,7,2020_02,25
region_a,1/8/2020,2020,1,8,2020_02,25
region_a,1/9/2020,2020,1,9,2020_02,40
region_a,1/10/2020,2020,1,10,2020_02,15
region_a,1/12/2020,2020,1,12,2020_02,10
region_a,1/13/2020,2020,1,13,2020_03,25
region_a,1/14/2020,2020,1,14,2020_03,15
region_a,1/15/2020,2020,1,15,2020_03,35
region_a,1/16/2020,2020,1,16,2020_03,20
region_a,1/17/2020,2020,1,17,2020_03,5
region_a,1/18/2020,2020,1,18,2020_03,10
region_a,1/19/2020,2020,1,19,2020_03,25
region_a,1/20/2020,2020,1,20,2020_04,45
region_a,1/21/2020,2020,1,21,2020_04,30
region_a,1/22/2020,2020,1,22,2020_04,30
region_a,1/23/2020,2020,1,23,2020_04,5
region_a,1/24/2020,2020,1,24,2020_04,10
region_a,1/26/2020,2020,1,26,2020_04,5
region_a,1/27/2020,2020,1,27,2020_05,15
region_a,1/28/2020,2020,1,28,2020_05,30
region_a,1/29/2020,2020,1,29,2020_05,35
region_a,1/30/2020,2020,1,30,2020_05,35
region_a,1/31/2020,2020,1,31,2020_05,25
region_a,2/1/2020,2020,2,1,2020_05,10
region_a,2/2/2020,2020,2,2,2020_05,20
region_a,2/3/2020,2020,2,3,2020_06,25
region_a,2/4/2020,2020,2,4,2020_06,45
region_a,2/5/2020,2020,2,5,2020_06,70
region_a,2/6/2020,2020,2,6,2020_06,30
region_a,2/7/2020,2020,2,7,2020_06,20
region_a,2/8/2020,2020,2,8,2020_06,10
region_a,2/9/2020,2020,2,9,2020_06,25
region_a,2/10/2020,2020,2,10,2020_07,35
region_a,2/11/2020,2020,2,11,2020_07,45
region_a,2/12/2020,2020,2,12,2020_07,55
region_a,2/13/2020,2020,2,13,2020_07,75
region_a,2/14/2020,2020,2,14,2020_07,5
region_a,2/16/2020,2020,2,16,2020_07,65
region_a,2/17/2020,2020,2,17,2020_08,55
region_a,2/18/2020,2020,2,18,2020_08,65
region_a,2/19/2020,2020,2,19,2020_08,45
region_a,2/20/2020,2020,2,20,2020_08,75
region_a,2/21/2020,2020,2,21,2020_08,25
region_a,2/23/2020,2020,2,23,2020_08,40
region_a,2/24/2020,2020,2,24,2020_09,60
region_a,2/25/2020,2020,2,25,2020_09,70
region_a,2/26/2020,2020,2,26,2020_09,75
region_a,2/27/2020,2020,2,27,2020_09,55
region_a,2/28/2020,2020,2,28,2020_09,10
region_a,3/1/2020,2020,3,1,2020_09,35
region_a,3/2/2020,2020,3,2,2020_10,55
region_a,3/3/2020,2020,3,3,2020_10,50
region_a,3/4/2020,2020,3,4,2020_10,65
region_a,3/5/2020,2020,3,5,2020_10,75
region_a,3/6/2020,2020,3,6,2020_10,15
region_a,3/8/2020,2020,3,8,2020_10,20
region_a,3/9/2020,2020,3,9,2020_11,70
region_a,3/10/2020,2020,3,10,2020_11,85
region_a,3/11/2020,2020,3,11,2020_11,75
region_a,3/12/2020,2020,3,12,2020_11,65
region_a,3/13/2020,2020,3,13,2020_11,20
region_a,3/15/2020,2020,3,15,2020_11,10
region_a,3/16/2020,2020,3,16,2020_12,25
region_a,3/17/2020,2020,3,17,2020_12,45
region_a,3/18/2020,2020,3,18,2020_12,80
region_a,3/19/2020,2020,3,19,2020_12,65
region_a,3/20/2020,2020,3,20,2020_12,20
region_a,3/22/2020,2020,3,22,2020_12,25
region_a,3/23/2020,2020,3,23,2020_13,25
